availableScenarioEnergy,configurationSuitability,currentMissionMode,enduranceFeasibility,energyMargin,flightFeasibility,lowBatteryTriggered,missionComplete,missionEnergyTotal,missionTime,remainingScenarioEnergy,returnedEarly,returnEnergyRequired,tier1EnergyIncrement,sentry.thrustMargin,sentry.platform.patrolSpeed,sentry.platform.power.batteryMass,sentry.platform.propulsion.motorSizeFactor,sentry.platform.propulsion.propellerDiameter,sentry.payload.spotlight.spotlightOnLoad,sentry.payload.speaker.speakerOnLoad
2.5200E5,false,MISSION_FAIL,false,-3.6142E5,false,false,false,6.1342E5,0.0000,2.5200E5,true,0.0000,1800.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,15.0000,10.0000
2.5200E5,false,MISSION_FAIL,false,-3.6286E5,false,false,false,6.1486E5,0.0000,2.5200E5,true,0.0000,3240.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,15.0000,18.0000
2.5200E5,false,MISSION_FAIL,false,-3.6430E5,false,false,false,6.1630E5,0.0000,2.5200E5,true,0.0000,4680.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,15.0000,26.0000
2.5200E5,false,MISSION_FAIL,false,-3.6442E5,false,false,false,6.1642E5,0.0000,2.5200E5,true,0.0000,1800.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,25.0000,10.0000
2.5200E5,false,MISSION_FAIL,false,-3.6586E5,false,false,false,6.1786E5,0.0000,2.5200E5,true,0.0000,3240.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,25.0000,18.0000
2.5200E5,false,MISSION_FAIL,false,-3.6730E5,false,false,false,6.1930E5,0.0000,2.5200E5,true,0.0000,4680.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,25.0000,26.0000
2.5200E5,false,MISSION_FAIL,false,-3.6742E5,false,false,false,6.1942E5,0.0000,2.5200E5,true,0.0000,1800.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,35.0000,10.0000
2.5200E5,false,MISSION_FAIL,false,-3.6886E5,false,false,false,6.2086E5,0.0000,2.5200E5,true,0.0000,3240.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,35.0000,18.0000
2.5200E5,false,MISSION_FAIL,false,-3.7030E5,false,false,false,6.2230E5,0.0000,2.5200E5,true,0.0000,4680.0000,-5.2365,4.5000,0.5000,2.5000,0.2500,35.0000,26.0000
2.5200E5,false,MISSION_FAIL,false,-3.0315E5,false,false,false,5.5515E5,0.0000,2.5200E5,true,0.0000,1800.0000,-5.2365,5.0000,0.5000,2.5000,0.2500,15.0000,10.0000
